participant_id,name,age,gender,interface,data_folder,html_file,Q1,Q2,Q3,Q4,preferred_interface,preferred_reason,created_at,pairing_index,pairing_number
44f05781-6e50-4014-af66-bdc306937c66,,,,Y1,wFKBN3MGUGI_none_0.068,youtube_ui_one.html,2,5,3,6,Y,"각 인터페이스가 마음에 안들었던 점을 함께 기재하면 좋을 것 같아서 해당 부분도 추가하겠습니다.

<가장 마음에 든 인터페이스>
D. 가장 익숙한 방식. 유튜브에서 실제로 볼 때 이렇게 함. 본인이 스크롤 속도를 조절할 수 있어서, 영상을 보고싶을 땐 스크롤 하지 않고 의견이 궁금할 때 스크롤할 수 있어 영상 집중도도 좋음.

<기타>
A. 하나씩 나오는 것 자체는 산만하지 않아서 좋았지만, 영상과 싱크가 완벽하게 맞지 않으면 오히려 영상의 재미를 반감시키는 부분이 있음, 하단의 자막이 계속 바뀌어서 영상 집중도가 떨어짐.
B. 예전에 일본에서 유행했던 방식인 것 같은데, 도저히 영상에 집중할 수가 없음. 영상 내용 뿐만 아니라 댓글 내용도 인지가 전혀 안됨.
C. A의 단점 + 영상 가운데에 있어서 더 낮아진 집중도. 자막이 거슬릴 때도 있음.
E. 한번에 여러 개를 스키밍 할 수 없고, 코멘트를 보기위해서 지속적으로 신경써서 행위를 해야하는 게 부담스러움. 또한 한번에 댓글이 넘어가면 다시 조정해야 하는 과정이 번거로움.",2025-11-27 11:20:46.481000+00:00,,
1172b571-b3bc-44d2-90eb-07246e3ee5c5,,,,Y1,wFKBN3MGUGI_none_0.068,youtube_ui_one.html,1,1,6,5,Y,읽은 후에 곱씹어보고 싶은 댓글들을 사용자의 선호도에 맞추어 천천히 볼 수 있어서 좋았다.,2025-11-27 12:22:09.842000+00:00,,
8978acae-af56-4d8c-a4fd-9b49d40d711b,,,,D,wFKBN3MGUGI_none_0.068,danmaku_ui_default.html,7,5,1,1,C,,2025-11-27 14:31:54.837000+00:00,3.0,4.0
9c74a007-f8bd-47f3-b243-cee5d35a2630,,,,C,wFKBN3MGUGI_none_0.068,comvi_ui_default.html,4,4,2,2,Y,"단순히 흥미로만 생각했을때 인터페이스 B는 새롭고 전반적으로 영상의 흐름과 맞는 댓글들이 보여 제일 흥미로웠지만, 그만큼 영상에 온전히 집중하기 어려웠습니다. 인터페이스 A는 댓글의 길이에 따라 읽을 수 있는 시간이 다른데 빠르게 넘기는것 같아 제일 불만족스러웠습니다. 개인적으로 B는 새롭고 흥미롭지만 영상미에 집중하고 싶을때 더욱 불만족스러울 것 같고, 인터페이스 D가 영상 비주얼을 해치지 않으면서 여러 댓글을 스키밍할 수 있어 제일 만족스러웠습니다. 인터페이스 E는 D에 비해 스크롤을 더 많이 해야해서 불편했습니다.",2025-11-27 15:22:19.002000+00:00,4.0,5.0
ffd0a03e-6d0d-42de-bb0f-b29439b0db25,,,,Y,wFKBN3MGUGI_none_0.068,youtube_ui.html,3,4,3,3,C,"굳이 내가 직접 스크롤을 해서 보지 않아도 되고, 댓글을 읽느라 영상이 안 보이는 것이 아니라서 영상에 집중하면서 댓글을 즐기기에 좋았다.",2025-11-28 01:45:21.402000+00:00,1.0,2.0
8636465f-519a-4a34-87eb-accbf1effc1b,,,,D,wFKBN3MGUGI_none_0.068,danmaku_ui_default.html,7,6,1,1,C,인터페이스 A와 C가 영상내용과 어울리는 댓글이 하나씩 나왔기 때문에 영상집중과 댓글읽기 모두 편안하게 가능했다. 그 중에서도 A가 가장 만족스러웠던 이유는 항상 일정한 위치에 댓글이 있고 움직이지 않기 때문에 눈 움직임이 더 편했다.,2025-11-28 02:43:23.656000+00:00,3.0,4.0
342fc4bb-bba3-42c2-81a9-8a7d5fde912d,,,,C,wFKBN3MGUGI_none_0.068,comvi_ui_default.html,3,1,6,5,C,,2025-11-28 03:19:11.416000+00:00,4.0,5.0
6c2c7be4-3f65-4865-a1c5-9298eb2849dd,,,,Y,wFKBN3MGUGI_none_0.068,youtube_ui.html,5,4,1,2,C,"영상 컨텐츠와 댓글을 병행해서 보기에 가장 적합했고, 댓글이 화면에 떠있는 시간이 내용을 읽기에 충분한 시간이었으며 영상 컨텐츠와 의미적으로 align 되어서 보기 편했습니다.",2025-11-28 06:46:56.392000+00:00,1.0,2.0
87dee49d-0a92-4a91-8cb8-eff2fd539566,,,,Y,wFKBN3MGUGI_none_0.068,youtube_ui.html,2,5,2,2,C,"영상을 보는 중, 특정 시점에 대해 다른사람의 의견을 함께 볼 수 있다는 점에서 해당 인터페이스가 가장 흥미로웠고, 또한 댓글 내용 또한 적절해서 보는 즐거움이 상대적으로 다른 인터페이스보다 컸던거 같습니다.",2025-11-28 06:50:21.792000+00:00,1.0,2.0
b6f081fe-34b0-42db-9534-0a53d56fa8b2,,,,C,wFKBN3MGUGI_none_0.068,comvi_ui_default.html,1,1,7,7,C,,2025-11-28 07:24:27.388000+00:00,4.0,5.0
12e737fe-732c-4c89-9ec1-7c86b9ce3889,,,,Y,wFKBN3MGUGI_none_0.068,youtube_ui.html,3,2,5,6,C,적절한 내용이 자동으로 나와서 부담이 적었다.,2025-11-28 09:29:41.936000+00:00,1.0,2.0
99eb041f-6697-4999-9611-b7fc34e48286,,,,D,wFKBN3MGUGI_none_0.068,danmaku_ui_default.html,7,3,6,2,C,화면을 많이 가리지도 않고 시기 적절한 댓글이 표시되어서 시작적 부담도 적고 재미도 있었습니다,2025-11-28 23:09:00.239000+00:00,3.0,4.0
